@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
208,2076,10,16101,198,0.987852,0.995206,0.11421,0.995206,0.88579,0.204905,0.988686,1.006594,0.058463
209,2076,10,16100,199,0.987791,0.995206,0.114217,0.995206,0.885783,0.204916,0.988632,1.00665,0.058469
210,2076,10,16099,200,0.987729,0.995206,0.114223,0.995206,0.885777,0.204926,0.988578,1.006705,0.058504
211,2076,10,16098,201,0.987668,0.995206,0.114229,0.995206,0.885771,0.204936,0.988523,1.00676,0.058508
212,2076,10,16097,202,0.987607,0.995206,0.114235,0.995206,0.885765,0.204946,0.988469,1.006816,0.058516
213,2076,10,16096,203,0.987545,0.995206,0.114242,0.995206,0.885758,0.204956,0.988414,1.006871,0.05853
214,2076,10,16095,204,0.987484,0.995206,0.114248,0.995206,0.885752,0.204966,0.98836,1.006927,0.058532
215,2076,10,16094,205,0.987423,0.995206,0.114254,0.995206,0.885746,0.204976,0.988306,1.006982,0.058564
216,2076,10,16093,206,0.987361,0.995206,0.114261,0.995206,0.885739,0.204986,0.988251,1.007038,0.05857
217,2076,10,16092,207,0.9873,0.995206,0.114267,0.995206,0.885733,0.204997,0.988197,1.007093,0.058575
218,2075,11,16092,207,0.9873,0.994727,0.114218,0.994727,0.885782,0.204908,0.988143,1.006663,0.058577
219,2075,11,16091,208,0.987238,0.994727,0.114224,0.994727,0.885776,0.204918,0.988088,1.006719,0.058577
220,2075,11,16090,209,0.987177,0.994727,0.114231,0.994727,0.885769,0.204928,0.988034,1.006774,0.058583
221,2075,11,16089,210,0.987116,0.994727,0.114237,0.994727,0.885763,0.204938,0.987979,1.00683,0.058595
222,2075,11,16088,211,0.987054,0.994727,0.114243,0.994727,0.885757,0.204948,0.987925,1.006885,0.058607
223,2075,11,16087,212,0.986993,0.994727,0.11425,0.994727,0.88575,0.204959,0.987871,1.00694,0.058618
224,2075,11,16086,213,0.986932,0.994727,0.114256,0.994727,0.885744,0.204969,0.987816,1.006996,0.058639
225,2075,11,16085,214,0.98687,0.994727,0.114262,0.994727,0.885738,0.204979,0.987762,1.007051,0.058647
226,2075,11,16084,215,0.986809,0.994727,0.114268,0.994727,0.885732,0.204989,0.987707,1.007107,0.058664
