@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
192,2643,0,20017,393,0.980745,1,0.116637,1,0.883363,0.208908,0.982952,1.017343,0.069548
193,2643,0,20016,394,0.980696,1,0.116642,1,0.883358,0.208916,0.982909,1.017388,0.076206
194,2643,0,20015,395,0.980647,1,0.116648,1,0.883352,0.208925,0.982866,1.017433,0.092996
195,2643,0,20014,396,0.980598,1,0.116653,1,0.883347,0.208933,0.982822,1.017478,0.094304
196,2643,0,20013,397,0.980549,1,0.116658,1,0.883342,0.208941,0.982779,1.017523,0.100003
197,2643,0,20012,398,0.9805,1,0.116663,1,0.883337,0.208949,0.982735,1.017568,0.105149
198,2643,0,20009,401,0.980353,1,0.116678,1,0.883322,0.208974,0.982605,1.017703,0.106628
199,2643,0,20008,402,0.980304,1,0.116684,1,0.883316,0.208982,0.982562,1.017748,0.106645
200,2643,0,20007,403,0.980255,1,0.116689,1,0.883311,0.208991,0.982519,1.017792,0.109531
201,2642,1,20007,403,0.980255,0.999622,0.11665,0.999622,0.88335,0.20892,0.982475,1.017452,0.110749
202,2642,1,20006,404,0.980206,0.999622,0.116655,0.999622,0.883345,0.208928,0.982432,1.017497,0.110882
203,2642,1,20005,405,0.980157,0.999622,0.11666,0.999622,0.88334,0.208936,0.982388,1.017542,0.111092
204,2642,1,20004,406,0.980108,0.999622,0.116665,0.999622,0.883335,0.208945,0.982345,1.017587,0.11208
205,2642,1,20003,407,0.980059,0.999622,0.11667,0.999622,0.88333,0.208953,0.982302,1.017632,0.116937
206,2642,1,20002,408,0.98001,0.999622,0.116675,0.999622,0.883325,0.208961,0.982258,1.017677,0.120256
207,2642,1,20001,409,0.979961,0.999622,0.116681,0.999622,0.883319,0.208969,0.982215,1.017722,0.12081
208,2642,1,19989,421,0.979373,0.999622,0.116743,0.999622,0.883257,0.209069,0.981694,1.018262,0.121344
209,2642,1,19984,426,0.979128,0.999622,0.116768,0.999622,0.883232,0.20911,0.981477,1.018487,0.124052
210,2642,1,19982,428,0.97903,0.999622,0.116779,0.999622,0.883221,0.209127,0.981391,1.018577,0.12422
211,2640,3,19942,468,0.97707,0.998865,0.116907,0.998865,0.883093,0.209316,0.979569,1.019699,0.126194
212,2640,3,19941,469,0.977021,0.998865,0.116912,0.998865,0.883088,0.209324,0.979525,1.019744,0.126766
213,2640,3,19940,470,0.976972,0.998865,0.116918,0.998865,0.883082,0.209333,0.979482,1.019789,0.128608
214,2640,3,19925,485,0.976237,0.998865,0.116995,0.998865,0.883005,0.209457,0.978831,1.020467,0.12891
215,2639,4,19925,485,0.976237,0.998487,0.116956,0.998487,0.883044,0.209386,0.978788,1.020125,0.129318
216,2639,4,19923,487,0.976139,0.998487,0.116967,0.998487,0.883033,0.209403,0.978701,1.020216,0.129645
217,2639,4,19921,489,0.976041,0.998487,0.116977,0.998487,0.883023,0.20942,0.978614,1.020306,0.13016
218,2639,4,19920,490,0.975992,0.998487,0.116982,0.998487,0.883018,0.209428,0.978571,1.020352,0.130365
219,2639,4,19919,491,0.975943,0.998487,0.116987,0.998487,0.883013,0.209436,0.978528,1.020397,0.131812
