@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
193,2640,3,20064,346,0.983048,0.998865,0.116279,0.998865,0.883721,0.208309,0.984861,1.014219,0.002054
194,2640,3,20063,347,0.982999,0.998865,0.116284,0.998865,0.883716,0.208317,0.984818,1.014264,0.00297
195,2640,3,20062,348,0.98295,0.998865,0.116289,0.998865,0.883711,0.208325,0.984774,1.014309,0.003088
196,2640,3,20061,349,0.982901,0.998865,0.116294,0.998865,0.883706,0.208333,0.984731,1.014353,0.003206
197,2640,3,20060,350,0.982852,0.998865,0.1163,0.998865,0.8837,0.208342,0.984687,1.014398,0.003964
198,2640,3,20059,351,0.982803,0.998865,0.116305,0.998865,0.883695,0.20835,0.984644,1.014443,0.004
199,2640,3,20058,352,0.982754,0.998865,0.11631,0.998865,0.88369,0.208358,0.984601,1.014487,0.004462
200,2640,3,20057,353,0.982705,0.998865,0.116315,0.998865,0.883685,0.208366,0.984557,1.014532,0.005061
201,2640,3,20056,354,0.982656,0.998865,0.11632,0.998865,0.88368,0.208374,0.984514,1.014577,0.005903
202,2640,3,20055,355,0.982607,0.998865,0.116325,0.998865,0.883675,0.208383,0.984471,1.014621,0.006017
203,2640,3,20054,356,0.982558,0.998865,0.11633,0.998865,0.88367,0.208391,0.984427,1.014666,0.006866
204,2640,3,20053,357,0.982509,0.998865,0.116335,0.998865,0.883665,0.208399,0.984384,1.014711,0.006909
205,2639,4,20053,357,0.982509,0.998487,0.116296,0.998487,0.883704,0.208328,0.98434,1.014371,0.007021
206,2639,4,20052,358,0.98246,0.998487,0.116302,0.998487,0.883698,0.208337,0.984297,1.014416,0.007123
207,2639,4,20051,359,0.982411,0.998487,0.116307,0.998487,0.883693,0.208345,0.984254,1.014461,0.00726
208,2639,4,20048,362,0.982264,0.998487,0.116322,0.998487,0.883678,0.20837,0.984124,1.014595,0.007282
209,2639,4,20047,363,0.982215,0.998487,0.116327,0.998487,0.883673,0.208378,0.98408,1.014639,0.007287
210,2639,4,20046,364,0.982166,0.998487,0.116332,0.998487,0.883668,0.208386,0.984037,1.014684,0.007395
211,2639,4,20045,365,0.982117,0.998487,0.116338,0.998487,0.883662,0.208394,0.983993,1.014729,0.007415
212,2639,4,20044,366,0.982068,0.998487,0.116343,0.998487,0.883657,0.208402,0.98395,1.014774,0.007506
213,2639,4,20043,367,0.982019,0.998487,0.116348,0.998487,0.883652,0.208411,0.983907,1.014818,0.00757
214,2639,4,20042,368,0.98197,0.998487,0.116353,0.998487,0.883647,0.208419,0.983863,1.014863,0.007698
215,2639,4,20041,369,0.981921,0.998487,0.116358,0.998487,0.883642,0.208427,0.98382,1.014908,0.007784
216,2639,4,20040,370,0.981872,0.998487,0.116363,0.998487,0.883637,0.208435,0.983777,1.014953,0.007847
217,2639,4,20039,371,0.981823,0.998487,0.116368,0.998487,0.883632,0.208444,0.983733,1.014997,0.007974
218,2639,4,20038,372,0.981774,0.998487,0.116373,0.998487,0.883627,0.208452,0.98369,1.015042,0.00804
219,2639,4,20037,373,0.981725,0.998487,0.116379,0.998487,0.883621,0.20846,0.983646,1.015087,0.008472
220,2639,4,20036,374,0.981676,0.998487,0.116384,0.998487,0.883616,0.208468,0.983603,1.015132,0.008611
221,2638,5,20035,375,0.981627,0.998108,0.11635,0.998108,0.88365,0.208406,0.983516,1.014837,0.00937
222,2638,5,20034,376,0.981578,0.998108,0.116355,0.998108,0.883645,0.208414,0.983473,1.014881,0.01034
223,2638,5,20033,377,0.981529,0.998108,0.11636,0.998108,0.88364,0.208422,0.983429,1.014926,0.010508
224,2638,5,20032,378,0.98148,0.998108,0.116365,0.998108,0.883635,0.20843,0.983386,1.014971,0.010614
225,2638,5,20031,379,0.981431,0.998108,0.11637,0.998108,0.88363,0.208439,0.983343,1.015016,0.010798
226,2638,5,20030,380,0.981382,0.998108,0.116376,0.998108,0.883624,0.208447,0.983299,1.01506,0.011048
227,2638,5,20029,381,0.981333,0.998108,0.116381,0.998108,0.883619,0.208455,0.983256,1.015105,0.011511
